refString,fstName,midNames,lstName,fullName,origLangName,currGender,dobYgr,dobMgr,dobDgr,dobFlag
https://en.wikipedia.org/w/index.php?title=Michel_van_der_Aa&oldid=1218427186,Michel,,van der Aa,Michel van der Aa,Michel van der Aa,male,1970,3,10,b.
https://en.wikipedia.org/w/index.php?title=Thorvald_Aagaard&oldid=1216808991,Thorvald,,Aagaard,Thorvald Aagaard,,,1877,6,8,b.
https://en.wikipedia.org/w/index.php?title=Truid_Aagesen&oldid=1216808988,Truid,,Aagesen,Truid Aagesen,,,1568,,,f->b
https://en.wikipedia.org/w/index.php?title=Heikki_Aaltoila&oldid=1218207569,Heikki,,Aaltoila,Heikki Aaltoila,,,1905,12,11,b.
https://en.wikipedia.org/w/index.php?title=Juhan_Aavik&oldid=1215470131,Juhan,,Aavik,Juhan Aavik,,,1884,1,29,b.
https://en.wikipedia.org/w/index.php?title=Evaristo_Felice_Dall'Abaco&oldid=1223910328,Evaristo,,Dall'Abaco,Evaristo Felice Dall'Abaco,,,1675,7,12,b.
https://en.wikipedia.org/w/index.php?title=Joseph_Abaco&oldid=1165016668,Joseph,,Abaco,Joseph Abaco,,,1710,3,27,b.
https://en.wikipedia.org/w/index.php?title=Antonio_Maria_Abbatini&oldid=1223288488,Antonio,,Abbatini,Antonio Maria Abbatini,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Gamal_Abdel-Rahim&oldid=1218344137,Gamal,,Abdel-Rahim,Gamal Abdel-Rahim,,,1924,11,25,b.
https://en.wikipedia.org/w/index.php?title=Mohamed_Abdelwahab_Abdelfattah&oldid=1218344145,Mohamed,,Abdelfattah,Mohamed Abdelwahab Abdelfattah,,,1962,,,b.
https://en.wikipedia.org/w/index.php?title=Behzad_Abdi&oldid=1214780490,Behzad,,Abdi,Behzad Abdi,,,1973,,,b.
https://en.wikipedia.org/w/index.php?title=Keiko_Abe&oldid=1221821843,Keiko,,Abe,Keiko Abe,,,1937,4,18,b.
https://en.wikipedia.org/w/index.php?title=Mary_Anne_à_Beckett&oldid=1216169910,Mary,,Beckett,Mary Anne à Beckett,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Rosalina_Abejo&oldid=1224468216,Rosalina,,Abejo,Rosalina Abejo,,,1922,7,13,b.
https://en.wikipedia.org/w/index.php?title=Carl_Friedrich_Abel&oldid=1224353021,Carl,,Abel,Carl Friedrich Abel,,,1777,12,22,b.
