1,"*[[Michel van der Aa]] (born 1970)","Michel van der Aa"
2,"*[[Thorvald Aagaard]] (1877–1937)","Thorvald Aagaard"
3,"*[[Truid Aagesen]] (fl. 1593–1625)","Truid Aagesen"
4,"*[[Heikki Aaltoila]] (1905–1992)","Heikki Aaltoila"
5,"*[[Juhan Aavik]] (1884–1982)","Juhan Aavik"
6,"*[[Evaristo Felice Dall'Abaco]] (1675–1742)","Evaristo Felice Dall'Abaco"
7,"*[[Joseph Abaco]] (dall'Abaco) (1710–1805)","Joseph Abaco"
8,"*[[Antonio Maria Abbatini]] (c. 1595 – 1680)","Antonio Maria Abbatini"
9,"*[[Gamal Abdel-Rahim]] (1924–1988)","Gamal Abdel-Rahim"
10,"*[[Mohamed Abdelwahab Abdelfattah]] (born 1962)","Mohamed Abdelwahab Abdelfattah"
11,"*[[Behzad Abdi]] (born 1973)","Behzad Abdi"
12,"*[[Keiko Abe]] (born 1937)","Keiko Abe"
13,"*[[Mary Anne à Beckett]] (1817–1863)","Mary Anne à Beckett"
14,"*[[Rosalina Abejo]] (1922–1991)","Rosalina Abejo"
15,"*[[Carl Friedrich Abel]] (1723–1787)","Carl Friedrich Abel"
16,"*[[Clamor Heinrich Abel]] (1634–1696)","Clamor Heinrich Abel"
17,"*[[Ludwig Abel]] (1835–1895)","Ludwig Abel"
18,"*[[Mark Abel]] (born 1948)","Mark Abel"
19,"*[[Michael Abels]] (born 1962)","Michael Abels"
20,"*[[Peter Abelard]] (1079–1142)","Peter Abelard"
21,"*[[Nicanor Abelardo]] (1893–1934)","Nicanor Abelardo"
22,"*[[David Abell (composer)|David Abell]] (died c.1576)","David Abell (composer)"
23,"*[[John Abell]] (1653 – after 1724)","John Abell"
24,"*[[Walter Abendroth]] (1896–1973)","Walter Abendroth"
25,"*[[Jan Håkan Åberg]] (1916–2012)","Jan Håkan Åberg"
26,"*[[Lasse Åberg]] (born 1940)","Lasse Åberg"
27,"*[[Johann Joseph Abert]] (1832–1915)","Johann Joseph Abert"
28,"*[[Willoughby Bertie, 4th Earl of Abingdon|4th Earl of Abingdon]] (Willoughby Bertie) (1740–1799)","Willoughby Bertie, 4th Earl of Abingdon"
29,"*[[Peter Ablinger]] (born 1959)","Peter Ablinger"
30,"*[[Lora Aborn]] (1907–2005)","Lora Aborn"
31,"*[[Girolamo Abos]] (1715–1760)","Girolamo Abos"
32,"*[[Paul Abraham]] (1892–1960)","Paul Abraham"
33,"*[[Maurice Abrahams]] (1883–1931)","Maurice Abrahams"
34,"*[[Mahdyar Aghajani]] (born 1989)","Mahdyar Aghajani"
35,"*[[Hans Abrahamsen]] (born 1952)","Hans Abrahamsen"
36,"*[[Harriett Abrams]] (1758–1821)","Harriett Abrams"
37,"*[[Alexander Abramsky]] (1898–1985)","Alexander Abramsky"
38,"*[[Kornél Ábrányi]] (1822–1903)","Kornél Ábrányi"
39,"*[[Zequinha de Abreu]] (1880–1935)","Zequinha de Abreu"
40,"*[[Ayoob Tarish|Ayoob Tarish Absi]] (born 1942)","Ayoob Tarish"
41,"*[[Jean Absil]] (1893–1974)","Jean Absil"
42,"*[[Franz Abt]] (1819–1885)","Franz Abt"
43,"*[[Henry Abyngdon]] (c. 1418 – 1497)","Henry Abyngdon"
44,"*[[Filippo Acciaiuoli]] (1637–1700)","Filippo Acciaiuoli"
45,"*[[Jean-Baptiste Accolay]] (1833–1900)","Jean-Baptiste Accolay"
46,"*[[Joseph Achron]] (1886–1943)","Joseph Achron"
47,"*[[Dieter Acker]] (1940–2006)","Dieter Acker"
48,"*[[Marcial del Adalid y Gurréa|Marcial del Adalid]] (1826–1881)","Marcial del Adalid y Gurréa"
49,"*[[Adolphe Adam]] (1803–1856)","Adolphe Adam"
50,"*[[Mark Adamo]] (born 1962)","Mark Adamo"
51,"*[[Alton Adams|Alton Augustus Adams, Sr.]] (1889–1987)","Alton Adams"
52,"*[[Leslie Adams (composer)|H. Leslie Adams]] (born 1932)","Leslie Adams (composer)"
53,"*[[John Adams (composer)|John Adams]] (born 1947)","John Adams (composer)"
54,"*[[John Luther Adams]] (born 1953)","John Luther Adams"
55,"*[[Stephen Adams (composer)|Stephen Adams]] (Michael Maybrick) (1841–1913)","Stephen Adams (composer)"
56,"*[[Thomas Adams (musician)|Thomas Adams]] (1785–1858)","Thomas Adams (musician)"
57,"*[[Ella Adayevskaya]] (Elisabeth Schultz-Adaïewsky) (1846–1926)","Ella Adayevskaya"
58,"*[[Richard Addinsell]] (1904–1977)","Richard Addinsell"
59,"*[[John Addison (1765–1844)|John Addison]] (c. 1765 – 1844)","John Addison (1765–1844)"
60,"*[[John Addison]] (1920–1998)","John Addison"
61,"*[[Thomas Adès]] (born 1971)","Thomas Adès"
62,"*[[Vasif Adigozalov|Vasif Adigezalov]] (1935–2006)","Vasif Adigozalov"
63,"*[[Hugo Chaim Adler|Hugo Adler]] (1894–1955)","Hugo Chaim Adler"
64,"*[[Larry Adler|Lawrence Cecil Adler]] (1914–2001)","Larry Adler"
65,"*[[Samuel Adler (composer)|Samuel Adler]] (born 1928)","Samuel Adler (composer)"
66,"*[[Anton Cajetan Adlgasser]] (1729–1777)","Anton Cajetan Adlgasser"
67,"*[[Bruce Adolphe]] (born 1955)","Bruce Adolphe"
68,"*[[Olle Adolphson]] (1934–2004)","Olle Adolphson"
69,"*[[Theodor W. Adorno]] (1903–1969)","Theodor W. Adorno"
70,"*[[Emmanuel Adriaenssen]] (c. 1554 – 1604)","Emmanuel Adriaenssen"
71,"*[[John Adson]] (c. 1587 – 1640)","John Adson"
72,"*[[Josina van Aerssen]] (1733–1797)","Josina van Aerssen"
73,"*[[Nikolay Afanas'yev]] (1820–1898)","Nikolay Afanas'yev"
74,"*[[Zeca Afonso]] (1929–1987)","Zeca Afonso"
75,"*[[Agostino Agazzari]] (1578–1640)","Agostino Agazzari"
76,"*[[Klaus Ager]] (born 1946)","Klaus Ager"
77,"*[[Milton Ager]] (1893–1979)","Milton Ager"
78,"*[[François d'Agincourt]] (1684–1758)","François d'Agincourt"
79,"*[[Maria Teresa Agnesi]] (1720–1795)","Maria Teresa Agnesi"
80,"*[[Lejla Agolli]] (born 1950)","Lejla Agolli"
81,"*[[Lodovico Agostini]] (1534–1590)","Lodovico Agostini"
82,"*[[Paolo Agostino]] (c. 1583 – 1629)","Paolo Agostino"
83,"*[[Johan Agrell]] (1701–1765)","Johan Agrell"
84,"*[[Alexander Agricola]] (c. 1446 – 1506)","Alexander Agricola"
